Tribe,Label,Institution,State/Area,County,Site,ID,MNI,AFO,Collection History,Age/Culture,AFO,Note
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Oregon State Univ., Dept. of Anthropology",Illinois,Adams,Unknown sites,Accession #: NE001 Catalog #: 804-0003,5,0,"Between 1930 and 1959, human remains representing a minimum of five individuals were removed from unknown sites in Adams County, IL, by George Karl Neumann, a physical anthropologist working out of Indiana State University, Terre Haute, IN. In 1976, the Oregon State University Department of Anthropology acquired the Neumann Collection from Indiana State University.",,none,originally inventoried as culturally unidentifiable subsequently affiliated with the Ho-Chunk Nation of Wisconsin and the Iowa Tribe of Kansas and Nebraska. Repatriated.
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Oregon State Univ., Dept. of Anthropology",Illinois,Will,Fisher Mounds,"NE001-805-2118, UNKNO-3EM-0001, NE001-805-0118",1,0,"On an unknown date, human remains representing a minimum of one individual were removed from Fisher Mounds, Will County, IL, by an unknown individual. In 1976, the human remains were donated to the Department of Anthropology by the son of Geog Karl Neumann. Dr. Neumann worked as a physical anthropologist for Indiana State University, Terre Haute, IN.",,none,"originally CUI subsequently CA pub'l in FR dated 5/26/2009 to Citizen Potawatomi Nation of Oklahoma; Forest County Potawatomi Community of Wisconsin; Hannahville Indian Communty, Michigan; Ho-Chunk Nation of Wisconsin; Iowa Tribe of Kansas and Nebraska; Iowa Tribe of Oklahoma; Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas; Kickapoo Tribe of Oklahoma; Miami Tribe of Oklahoma; Otoe-Missouria Tribe of Indians of Oklahoma; Peoria Tribe of Indians of Oklahoma; Pokagon Band of Potawatomi Indians of Michigan and Indiana; Prairie Band of Potawatomi Nation of Kansas; Sac&Fox Tibe of the Mississippi in Iowa; Sac&Fox Nation of Missouri in Kansas and Nebraska; Sac&Fox Nation of Oklahoma; Shawnee Tribe, Oklahoma; and Winnebago Tribe of Nebraska"
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Oregon State Univ., Dept. of Anthropology",Illinois,Fulton,Unknown,NE001-102-0001,1,0,"Between 1930 and 1959, human remains representing a minimum of one individual were removed from an unknown site in Fulton County, IL, by Dr. Neumann. In 1976, the Oregon State University Department of Anthropology acquired the Neumann Collection from Indiana State University.",,none,originally CUI subsequently CA to the Ho-Chunk Nation of Wisconsin and Iowa Tribe of Kansas and Nebraska. Repatriated.
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Oregon State Univ., Dept. of Anthropology",Illinois,Fulton,unknown sites,"F85-81, F85-56, and F85-58",3,0,"removed between 1963 and 1964 by a physical anthropologist working out of Indiana State Unversity, Terre Haute, IN. In 1976, the Oregon State University Department of Anthropology acquired the Neumann Collection from Indiana State University",,,originally CUI subsequently CA pub'l FR 5/23/2008
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Oregon State Univ., Dept. of Anthropology",Illinois,N/A,N104,NE001-104-0001,1,0,"Between 1930 and 1959, human remains representing a minimum of one individual were removed from an unknown mound site in Illinois by George Karl Neumann, a physical anthropologist working out of Indiana State University, Terre Haute, IN. In 1976, the Oregon State University Department of Anthropology acquired the Neumann Collection from Indiana State University. This individual is referenced in the accession records as N104.",,none,"originally inventoried as CUI subsequently culturally affiliated with the Ho-Chunk Nation of Wisconsin; Iowa Tribe of Kansas and Nebraska; Iowa Tribe of Oklahoma; Otoe-Missouria Tribe of Indians, Oklahoma; and Winnebago Tribe of Nebraska"
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Oregon State Univ., Dept. of Anthropology",Illinois,Unknown,unknown mound site,NE001-103-0001,1,0,"removed between 1930 and 1959 by George Karl Neumann, a physical anthropologist working out of Indiana State University, Terre Haute, IN. In 1976, the Oregon State University of Anthropology acquired the Neumann Collection from Indiana State University. Culture: ""Walcolid male""",,none,originally CUI subsequently CA pub'l FR 5/23/2008. Repatriated
Ho-Chunk Nation of Wisconsin,HoChunkNation,"U.S. Dept. of Interior, FWS Great Lakes-Big Rivers Region",Illinois,La Salle,Near Ottawa,Seizure Tag #: 745803,1,0,"In the 1920s, human remains representing one individual were removed from the unspecified site near Ottawa,  la Salle County, IL. U.S. Fish and Wildlife Service agents seized the human remains as part of an investigation of illegal trafficking of Native American human remains [18 U.S.C. 1170 (a)]. Subsequent examination by an anthropologist and testting of the human remains revealed that they are of an approximately 24-year-old Native American female that lived sometime between A.D. 1030 and 1290. On July 25th, 2002, U.S. District Court Magistrate Judge Nan R. Nolan ordered that control of the human remains be transferred to the U.S. Fish and Wildlife Service for purposes of repatriation.",A.D. 1030 and 1290,,culturally affiliated with the Ho-Chunk Nation of Wisconsin and Winnebago Tribe of Nebraska. Repatriated in 2005.
Ho-Chunk Nation of Wisconsin,HoChunkNation,Bess Bower Dunn Museum (formerly the Lake County Discovery Museum),Iowa,Winneshiek,Decorah,Accession #: 70.10 Catalogue #: 70.10.3,1,1,"Excavated at an unknown time. It was in the collection of the Moody Museum in McGregor, Iowa. Ira James Moody sold it to Mr. Robert Vogel of what is now the Lake County Discovery Museum in Lake County, Illinois on May 23, 1957.",Ho-Chunk Nation,1 projectile point,new CA listing received Jan 2018. Culturally affiliated with the Ho-Chunk Nation of Wisconsin.
Ho-Chunk Nation of Wisconsin,HoChunkNation,"U.S. Dept. of Interior, NPS, Effigy Mounds NM",Iowa,Allamakee,13AM47,Accession #: 49,1,0,"The site had been excavated in the late 1940s by Ellison Orr, inn 1951 and 1952 by Effigy Mounds National Monument staff archaeologist Wilfred Logan, and at an unknown date by Henry Field, Wilfred Logan, and Dale Henning.",,none,"culturally affiliated to the Ho-Chunk Nation of Wisconsin; Iowa Tribe of Kansas and Nebraska; Iowa Tribe of Oklahoma; Lower Sioux Indian Community in the State of Minnesota; Ote-Missouria Tribe of Oklahoma; Prairie Island Indian Community in the State of Minnesota; Shakopee Mdewakanton Sioux Community of Minnesota; Upper Sioux Community, Minnesota; and Winnebago Tribe of Nebraska. Repatriated in 2008."
Ho-Chunk Nation of Wisconsin,HoChunkNation,"U.S Dept. of Interior, NPS, Effigy Mounds NM",Iowa,Allamakee,near Effigy Mounds National Monument,N/A,1,0,"In 1998, human remains representing one individual were received by and taken into the possession of Effigy Mounds National Monument.",Late Woodland,none,repatriated in 2001
Ho-Chunk Nation of Wisconsin,HoChunkNation,"U.S. Dept. of Interior, NPS, Effigy Mounds NM",Iowa,Allamakee,private lands near Effigy Mounds National Monument,EFMO 9916,1,0,"In 1957, human remains representing one individual were recovered from a mound on private lands near Effigy Mounds National Monument. This set of human remains is comprised of 94 bone fragments from a bundle burial. These human remains were given to Effigy Mounds National Monument in 1962, and were transferred to the National Park Service's Midwest Archeological Center in 1973.",,none,"Culturally affialiated with the Iowa Tribe of Kansas and Nebraska; Iowa Tribe of Oklahoma; Otoe-Missouria Tribe of Indians, Oklahoma; Ho-Chunk Nation of Wisconsin; Winnebago Tribe of Nebraska; Upper Sioux Indian Community of the Upper Sioux Reservation, Minnesota; Shakopee Mdewakanton Sioux Community of Minnesota (Prior Lake); Lower Sioux Indian Community of Minnesota; Mdewakanton Sioux Indians of the Lower Sioux Reservation in Minnesota; and Prairie
Island Indian Community of Minnesota; Mdewakanton Sioux Indians of the Prairie
Island Reservation, Minnesota. Repatriated in 2001."
Ho-Chunk Nation of Wisconsin,HoChunkNation,"U.S. Dept. of Interior, NPS, Effigy Mounds NM",Iowa,Allamakee,Mound #27,N/A,1,0,"In 1952, human remains representing one individual were recovered during legally authorized National Park Service-sponsored excavations at Mound #27, a site located within Effigy Mounds National Monument boundaries.",Late Woodland,none,repatriated in 2001
Ho-Chunk Nation of Wisconsin,HoChunkNation,Milwaukee Public Museum,Wisconsin,Fond du Lac,Luco Creek (site 47-FD-242),N/A,1,1,"In 1926, human remains representing a minimum of one individual were removed from a grace near Luco Creek (site 47-FD-242), Fond du Lac, Fond du Lac County, WI, during sewer construction. In 1926, Robert Weeks donated a glazed ceramic perfume bottle fromm this grace to the Milwaukee Public Museum.",,a glazed ceramic perfume bottle,
Ho-Chunk Nation of Wisconsin,HoChunkNation,Milwaukee Public Museum,Wisconsin,Winnebago,McCauley Campsite (47-WN-222),N/A,1,0,"In 1931 and 1932, human remains representing a minimum of two individuals were removed from the McCauley Campsite (47-WN-222), Oshkosh, Winnebago County, WI, by Arthur P. Kannenberg. The McCauley Campsite is located at the point where the Fox River flows into Lake Winnebago, between Frankfort and Eveline Streets, Oshkosh, WI.",,,
Ho-Chunk Nation of Wisconsin,HoChunkNation,Neville Public Museum,Wisconsin,Brown,Point Sable,NPM 4 Accession #: 1057/1133,7,487,"In 1940, human remains representing seven individuals were recovered from Point Sable, Brown County, WI during a utility work project. These human remains and associated funerary objects were donated to the Neville Public Museum by H.L. Ward, Payson Williams, and Mrs. E.O. Paulson the same year.",,"ceramics, bark and wood fragments, turtle carapace fragments, mammal, fish, and bird bones, a turtle nete-spreader, shell, brass and/or copper beads, a gun flint, brass or copper bracelets, shell gorget fragment, and an antler flaker.",
Ho-Chunk Nation of Wisconsin,HoChunkNation,Neville Public Museum,Wisconsin,Door,Porte des Morts site,N/A,1,0,Uncovered during excavation by NPM group under the direction of Ronald J. Mason nin 1961. The bones probably represent what was left after most of the individual's bones had been removed for bundle reburial.,"300 BC-400 AD, Menomiee or Ho-Chunk or both",none,culturally affiliated with the Ho-Chunk Nation of Wisconsin and Menominee Indian Tribe of Wisconsin
Ho-Chunk Nation of Wisconsin,HoChunkNation,Neville Public Museum,Wisconsin,Door,Portage Point,"6360/1989.59, 6361/1980.59A-GG",1,33,The remains were excavated at Portage Point by P.M Platten and P. Krippner in 1930 and removed to NPM.,late precontact,pot sherds,culturally affiliated with the Ho-Chunk Nation of Wisconsin
Ho-Chunk Nation of Wisconsin,HoChunkNation,Neville Public Museum,Wisconsin,Door,Rowleys Bay,N/A,1,3,Discovered by a landowner at Rowley's Bay in 1961 and excavated by an NPM team under the direction of Ronald J.  Mason. ,Late Archaic,"1 copper point, 1 antler flaker, and 1 vial with bone fragments and red ocher",culturally affiliated with the Ho-Chunk Nation of Wisconsin and Menominee Indian Tribe of Wisconsin
Ho-Chunk Nation of Wisconsin,HoChunkNation,Neville Public Museum,Wisconsin,Kewaunee,DeBaker Farm,1300/258,1,38,The partial skeleton of an adult. The skeleton apparently was given an accession number but not recorded in the accession book. Potsherd with the same accession number were collected at the DeBaker farm sometime between 1900 and 1930 by J.P. Schumacher and were donated to NPM in 1935.,"Middle Woodland, Late Woodland, late prehistoric period, historic",potsherds,culturally affiliated with the Ho-Chunk Nation of Wisconsin and Menominee Indian Tribe of Wisconsin
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Univ. of Wisconsin, Stevens Point",Wisconsin,Portage,Bigelow-Hamilton (47-Pr-29),N/A,2,71,"In the late 1950s, human remains were removed fromm the Bigelow-Hamilton site (47-Pr-29), Portage County, WI, by George Dixon. Mr. Dixon subsequently donated the human remains and associated funerary objects to the University of Wisconsin-Stevens Point. No known individuals were identified. Most of the human remains and associated funerary objects were reinterred in 1986 and 1987 at the request of the Wisconsin Winnebago Tribe, now called the Ho-Chunk Nation of Wisconsin. In 1994, 1995, and 2001, additional human remains representing a minimum of two individuals and associated funerary objects from  the Bigelow-Hamilton site were discovered in the University of Wisconsin-Stevens Point collections.",,"1 fragment of mink or otter fur, 2 textile fragments, 9 shell fragments, 6 stone tools, 48 stone flakes, 3 Madison Plain sherds, and 2 cord-impressed sherds.",
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Wisconsin Historical Society, Museum Division",Wisconsin,Fond du Lac,"Fond du Lac Township, near Luco Creek 47-FD-0242",Catalog #: A8949,1,2,"In 1926, human remains were removed from a grave near Luco Creek during sewer construction. Workers encountered three skeletons with associated funerary objects.",,one trade sheet silver headdress and a fragment of woven cloth,publish in the FR 5/13/2010 culturally affiliated with the Ho-Chunk Nation of Wisconsin and the Winnebago Tribe of Nebraska
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Wisconsin Historical Society, Museum Division",Wisconsin,La Crosse,Gunderson Clinic site (47-Lc-0394),N/A,48,39,"During 1989-1991, human remains representing 46 individuals were recovered from the Gunderson Clinic site (47-Lc-0394) by field crews of the Mississippi Valley Archeological Center during parking lot expansion of the Gunderson Clinic, La Crosse, WI.",,"ceramics, sherds, projectile point, scapers, and flakes, shell, copper fragments, mammal bone, and wood fragments. ",Corrects notice NIC0266 published 3/26/1999 increased MNI fromm 46 to 48 and AFO fromm 38 to 39.
Ho-Chunk Nation of Wisconsin,HoChunkNation,"Wisconsin Historical Society, Museum Division",Wisconsin,Trempealeau,"47-TR-31, Mound 26, HB-1",N/A,2,21,"Ini 1966, human remains representing a minimum of two individuals were recovered from site 47-TR-31, Mound 26, HB-1, also known as the Trempealeau Lakes of Schwerts Mound Group, Trempealeau County, WI during excavations conducted by field crews of the State Historical Society of Wisconsin.",,"bracelets rings, fabric fragments, cowrie shells, tubular beads, seed beads, and coin earrings",
Ho-Chunk Nation of Wisconsin,HoChunkNation,Univ. of Pennsylvania Museum of Archaeology and Anthropology,Unknown,N/A,Unknown,"L-606-0559, L-606-0560",2,0,"During the 1850s, human remains representing two individuals were removed from an unknown site by P. Gregg. In 1893, these human remains were acquired by the Academy of Natural Sciences, Philadelphia, PA. In 1966, these remains were placed on loan at the University of Pennsylvania Museum and were officially transferred into the University of Pennsylvania Museum's collecctions in 1998.",,,
Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,LacDuFlambeau,Univ. of Michigan Museum of Anthropology,Michigan,Arenac,20.2055/20AC19 Garry Site,Accession #: 3645,1,0,"Human skeletal remains encountered when a trench waas dug. Salvage excavation was conducted by C.Crumley et al. in 1971, and the human remains were transferred to the UMMA from the Michigan State Police (case #32-1003-71-5.1).",1760 AD-1820 AD,none,"Culturally affiliated to the Chippewa-Cree Indians of the Rocky Boy’s Reservation, Montana; Saginaw Chippewa Indian Tribe of Michigan; and Sault Ste. Marie Tribe of Chippewa Indians, Michigan, Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; St. Croix Chippewa Indians of Wisconsin; Sokaogon Chippewa Community, Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; and White Earth Band of the Minnesota Chippewa Tribe, Minnesota"
Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,LacDuFlambeau,American Museum of Natural History,Minnesota,Lake,Lake Superior vicinity,N/A,4,0,"At an unknown date, human remains representing a minimum of four individuals were collected by Frances Densmore from the vicinity of Lake Superior, MN. The American Museum of Natural History purchased the remains from Miss Densmore in 1920.",Ojibway/Postcontact,none,
Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,LacDuFlambeau,"Beloit College, Logan Museum of Anthropology",Wisconsin,Ashland,Marina site (47As24),LMA 7302,2,9,"In 1975 human remains representing a minimum of one individual (""Burial 2"") were removed from the Marina site (47As24), La Pointe Township, Madeline Island, Ashland County, WI by crews from Beloit College directed by Robert J. Salzer under the terms of an agreement between Beloit College and the Interagency Archeological Services branch of the National Park Service. In 1977, workers installing a sewer line removed the remains of another individual from the site (""Burial 12""), along with nine associated copper bracelets.",Lake Superior Ojibwa,copper bracelets,"culturally affiliated with the Bad River Band of Lake Superior Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; St. Croix Chippewa Community of Wisconsin; and Sokaogon Chippewa Community, Wisconsin."
